y_predict,y_score,y_true
17,0.23955742,0
4,0.24474359,0
3,0.344798,0
3,0.35013795,0
3,0.33616495,0
18,0.39908093,0
18,0.32010487,0
8,0.27776575,0
3,0.3418125,0
3,0.33417925,0
2,0.29822454,0
9,0.2767177,0
18,0.30286583,0
3,0.35651547,0
3,0.35371247,0
3,0.34454829,0
3,0.2442508,0
5,0.3314881,0
18,0.30234414,0
3,0.3379841,0
14,0.3366787,0
3,0.3524203,0
3,0.3593763,0
3,0.33857113,0
4,0.25196725,0
3,0.3057728,0
8,0.32085,0
3,0.35564944,0
14,0.32672608,0
18,0.25046512,0
14,0.3942173,0
3,0.3425332,0
9,0.26871082,0
2,0.3354249,0
3,0.32308096,0
3,0.33942583,0
8,0.27890882,0
9,0.2591364,0
3,0.34119278,0
6,0.3045768,0
4,0.29800007,0
18,0.4413124,0
3,0.33089218,0
22,0.25693086,0
3,0.36866248,0
22,0.2610429,0
18,0.41444406,1
10,0.22094078,1
17,0.21786194,1
1,0.29844075,1
8,0.3669047,1
18,0.21866499,1
3,0.28117332,1
18,0.3728361,1
5,0.31774968,1
9,0.26900145,1
14,0.36319536,1
5,0.2677164,1
18,0.4088925,1
22,0.42499834,1
16,0.46107435,1
22,0.51411426,1
1,0.27895415,1
18,0.2974233,1
8,0.33051753,1
1,0.37229887,1
1,0.31767142,1
14,0.44150737,1
18,0.45231965,1
18,0.38248074,1
18,0.30931675,1
18,0.30782354,1
18,0.42230836,1
16,0.43916908,1
16,0.41842926,1
10,0.22340468,1
8,0.36863348,1
22,0.53583336,1
16,0.5615074,1
18,0.37614384,1
3,0.27597713,1
8,0.33184597,1
18,0.1834691,1
8,0.35546708,1
11,0.64624816,1
14,0.40056205,1
14,0.238508,1
18,0.29262286,1
14,0.2717966,1
1,0.3339914,1
8,0.26513818,1
18,0.27477556,1
17,0.24178813,1
18,0.35122278,1
16,0.39321545,1
11,0.8135905,1
1,0.37351978,1
16,0.49170458,1
1,0.36509302,1
18,0.4246113,1
1,0.34733522,1
18,0.44260436,1
6,0.32096356,2
17,0.22309145,2
14,0.36959133,2
2,0.3460062,2
22,0.27271578,2
14,0.38096127,2
14,0.32096428,2
14,0.3385052,2
18,0.3067877,2
5,0.29233098,2
2,0.34482384,2
2,0.34190112,2
5,0.3801641,2
2,0.36485216,2
2,0.36114794,2
