y_predict,y_score,y_true
3,0.5010096,0
1,0.77103364,0
0,0.71714675,0
18,0.60157883,0
0,0.69606453,0
14,0.38022143,0
9,0.8474339,0
0,0.5369523,0
0,0.7110736,0
1,0.38874117,0
5,0.7076558,0
3,0.84622425,0
1,0.4364724,0
0,0.7313337,0
0,0.733765,0
0,0.6168643,0
18,0.48950884,0
5,0.5402438,0
0,0.5178769,0
0,0.7079464,0
14,0.74600834,0
0,0.5751702,0
0,0.74602664,0
1,0.50297785,0
22,0.6442832,0
0,0.73460954,0
3,0.44755465,0
0,0.4230877,0
9,0.76196355,0
9,0.83406,0
17,0.73170984,0
0,0.77263534,0
9,0.84003526,0
6,0.80072033,0
1,0.5441159,0
0,0.71117175,0
1,0.46505478,0
9,0.8516184,0
0,0.5336274,0
9,0.5330339,0
1,0.6602784,0
5,0.31817287,0
0,0.7050015,0
13,0.33387628,0
0,0.43184504,0
1,0.5938847,0
14,0.81826025,1
1,0.55371994,1
2,0.44860393,1
1,0.84920514,1
1,0.8583506,1
18,0.45424286,1
6,0.3678265,1
18,0.55819476,1
14,0.867091,1
9,0.7917187,1
1,0.60541916,1
5,0.5898383,1
3,0.74418277,1
18,0.4764075,1
1,0.8344911,1
1,0.49971417,1
1,0.68895626,1
14,0.441967,1
1,0.3310094,1
1,0.8000263,1
1,0.84689486,1
18,0.83790326,1
18,0.8127937,1
22,0.37477484,1
22,0.60519016,1
1,0.6820844,1
1,0.6815344,1
1,0.85175157,1
1,0.8307033,1
13,0.32400668,1
1,0.8192701,1
1,0.77120495,1
22,0.5908649,1
14,0.52926046,1
17,0.75386006,1
22,0.3051243,1
18,0.32471564,1
1,0.44729596,1
16,0.8489681,1
14,0.6020095,1
0,0.55280167,1
9,0.3333823,1
6,0.5811049,1
15,0.69831103,1
0,0.35624957,1
16,0.8300583,1
16,0.45566508,1
1,0.8316905,1
1,0.6532153,1
11,1.0,1
1,0.8025813,1
1,0.67497176,1
1,0.80096596,1
3,0.69781786,1
1,0.7637098,1
18,0.5192958,1
2,0.8013522,2
2,0.8130415,2
13,0.44853303,2
6,0.46350387,2
1,0.4461773,2
5,0.75811875,2
6,0.79416496,2
5,0.5086781,2
9,0.34556332,2
14,0.43109533,2
2,0.8124075,2
5,0.82679546,2
2,0.78521085,2
2,0.77787066,2
2,0.81841475,2
17,0.6176938,2
2,0.4558529,2
17,0.9182958,2
3,0.9302389,3
3,0.4462054,3
3,0.9350562,3
3,0.95312494,3
22,0.52888626,3
1,0.3555481,3
22,0.64956594,3
18,0.5985295,3
2,0.78224534,3
3,0.5176169,3
6,0.8060963,3
17,0.4385031,3
6,0.49642122,3
17,0.86620295,3
22,0.6888722,3
3,0.92402893,3
1,0.7913962,3
5,0.7664671,4
9,0.84570694,4
14,0.4650963,4
20,0.9005483,4
1,0.5215009,4
14,0.3406943,4
1,0.79064906,4
14,0.50857085,4
18,0.49904162,4
1,0.42017335,4
5,0.7990821,5
9,0.7865882,5
5,0.78778136,5
16,0.56224775,5
22,0.45026842,5
1,0.6810228,5
21,0.5558637,5
18,0.54512334,5
2,0.81143445,5
3,0.77197164,5
9,0.5330526,5
1,0.5281188,5
1,0.73686427,5
5,0.802982,5
5,0.7508259,5
5,0.8030152,5
5,0.76090187,5
14,0.19383453,5
5,0.3580333,5
5,0.79914397,5
5,0.82151884,5
9,0.82571054,5
5,0.8365945,5
5,0.43355137,5
18,0.5812159,5
14,0.51230127,5
4,0.8026814,5
17,0.9211676,5
14,0.76902974,5
2,0.64210427,5
5,0.84026015,5
5,0.82660365,5
5,0.56245863,5
5,0.8232068,5
14,0.7422035,5
14,0.63776106,5
1,0.58352166,5
2,0.7352614,5
6,0.60087144,5
5,0.7586548,5
18,0.6442649,5
18,0.610078,5
5,0.86636645,5
5,0.57134014,5
5,0.3647203,5
22,0.29160553,5
3,0.53802973,5
18,0.3043465,5
5,0.68218565,5
0,0.5166953,5
21,0.73691684,5
22,0.7569829,5
4,0.54795134,5
5,0.42063564,5
5,0.69283646,5
2,0.8234288,5
14,0.4301724,5
5,0.7252447,5
5,0.8027277,5
5,0.54124457,6
14,0.40899378,6
17,0.79472965,6
1,0.7522111,6
14,0.59713376,6
6,0.7322445,6
18,0.53474104,6
17,0.5218667,6
2,0.7328476,6
6,0.7903851,6
10,0.78226507,6
9,0.5933689,6
18,0.6261287,6
5,0.7339614,6
6,0.78462386,6
6,0.7651942,6
5,0.37107408,6
10,0.354011,6
17,0.6834781,6
21,0.94695675,6
21,0.6203356,6
14,0.672649,7
7,0.9563038,7
14,0.58948636,7
14,0.6910257,7
12,0.96754307,7
7,0.84208757,7
14,0.6913182,7
12,0.98008305,7
14,0.5302349,7
7,0.96994555,7
7,0.8200322,7
8,0.44434798,7
8,0.83194965,8
8,0.9051593,8
5,0.46488762,8
8,0.9016805,8
5,0.4353757,8
8,0.9504241,8
18,0.77074295,8
18,0.7421145,8
16,0.6321313,8
8,0.43064198,8
22,0.8020497,8
22,0.70133597,8
14,0.6401404,8
3,0.4398144,8
1,0.5209757,8
8,0.9407471,8
1,0.56855357,8
22,0.35416034,8
18,0.7801213,8
1,0.70601565,8
14,0.29817796,8
22,0.924445,8
22,0.8770564,8
22,0.9508983,8
22,0.9162042,8
22,0.812941,8
16,0.80838245,8
18,0.66369903,8
9,0.6868327,9
1,0.56852823,9
13,0.4825452,9
0,0.5978282,9
0,0.6729818,9
21,0.5523681,9
3,0.51585275,9
9,0.8386401,9
20,0.5165941,9
19,0.54134506,9
5,0.6282478,9
9,0.83670235,9
17,0.53834623,9
18,0.5873901,9
9,0.4779936,9
5,0.4114011,9
9,0.79768926,9
7,0.6053127,9
18,0.6629921,9
14,0.4323912,9
10,0.6134135,9
18,0.7713877,9
9,0.75476575,9
1,0.7132773,9
9,0.35068956,9
9,0.800086,9
5,0.38018894,9
10,0.7522499,10
10,0.7789665,10
18,0.6265642,10
10,0.785228,10
9,0.13251367,10
18,0.5033131,10
5,0.4967415,10
10,0.7624271,10
10,0.62021375,10
6,0.4571278,10
3,0.55100334,10
1,0.5167962,10
9,0.8492271,10
15,0.9360605,10
9,0.76292324,10
14,0.63580155,10
17,0.83108145,10
14,0.7507295,10
16,0.41830987,10
18,0.6967875,10
18,0.28322503,10
10,0.732902,10
5,0.4580133,10
11,1.0,11
16,0.7110081,11
16,0.44198182,11
11,1.0,11
11,1.0,11
11,1.0,11
11,1.0,11
22,0.44590056,11
11,0.99360365,11
11,1.0,11
11,1.0,11
11,1.0,11
16,0.91867733,11
11,1.0,11
16,0.98916376,11
11,1.0,11
16,0.99403304,11
16,0.64927083,11
7,0.9968004,11
15,0.66132766,11
11,1.0,11
16,0.50401986,11
7,0.9567033,12
1,0.421856,12
7,0.9202306,12
7,0.61294234,12
12,0.99846363,12
7,0.82599485,12
7,0.68932796,12
12,0.9988845,12
12,0.99210465,12
12,0.99745554,12
12,0.99796826,12
4,0.49515063,12
12,0.99994576,12
12,0.99331045,12
17,0.9284375,12
5,0.7584835,12
5,0.7850068,12
12,0.9996902,12
12,0.98855805,12
12,0.9999181,12
12,0.9939746,12
12,0.9940639,12
14,0.6771291,12
14,0.85892856,12
14,0.63109577,12
5,0.7307571,12
1,0.38857296,12
14,0.47716776,12
12,0.9988782,12
12,0.6497625,12
14,0.8559779,12
12,0.990774,12
12,0.9999721,12
12,0.8265052,12
12,0.9952341,12
12,0.91373825,12
12,0.9999503,12
12,0.99997294,12
12,0.9999553,12
12,0.9999695,12
12,0.9999249,12
12,0.6381814,12
12,0.90363675,12
12,0.9996799,12
12,0.99784446,12
12,0.9999294,12
14,0.60889137,12
12,0.9999291,12
12,0.9999156,12
12,0.9902866,12
12,0.5800535,12
5,0.80648136,13
13,0.92347735,13
1,0.5007734,13
3,0.9335576,13
5,0.83629006,13
2,0.8003811,13
18,0.36534846,13
13,0.87385476,13
3,0.34502888,13
13,0.860433,13
9,0.53897554,13
22,0.3214098,13
17,0.6543923,13
4,0.5190733,13
21,0.6351743,13
17,0.3693718,14
14,0.8428052,14
14,0.43331072,14
9,0.28009176,14
14,0.55263996,14
14,0.8585778,14
14,0.83585864,14
14,0.7080188,14
14,0.5919742,14
14,0.61119926,14
18,0.30023754,14
0,0.55220973,14
1,0.80407655,14
8,0.3421106,14
17,0.9212794,14
0,0.5989591,14
4,0.44224,14
18,0.5272659,14
22,0.31747606,14
18,0.37920707,14
15,0.8886601,14
14,0.71420795,14
18,0.683038,14
17,0.81418294,14
10,0.40652108,14
18,0.5510966,14
14,0.58216137,14
14,0.60170394,14
14,0.8123534,14
14,0.60689306,14
17,0.86110806,14
5,0.6627157,14
6,0.62202036,14
14,0.39400306,14
14,0.5177802,14
17,0.73099285,14
14,0.8754168,14
17,0.85058564,14
18,0.46623927,14
14,0.78589654,14
5,0.72420025,14
5,0.71022874,14
14,0.4980112,14
2,0.3055759,14
9,0.3302788,14
14,0.56977475,14
17,0.50323653,14
14,0.52938396,14
14,0.55043274,14
14,0.6476549,14
21,0.38940778,14
14,0.5476568,14
5,0.72503054,14
14,0.8410509,14
17,0.34093934,14
7,0.60936475,14
14,0.8612571,14
18,0.5421031,14
14,0.5600899,14
4,0.767177,14
7,0.6032625,14
0,0.5914269,14
16,0.5257926,14
4,0.44862887,15
6,0.5611746,15
15,0.9984999,15
2,0.55467343,15
21,0.9159539,15
16,0.58261013,15
14,0.72655296,15
15,0.9956086,15
3,0.84775794,15
18,0.3430501,15
3,0.80226624,15
18,0.3620228,15
16,0.9906042,15
15,0.96775115,15
4,0.5247484,15
22,0.75848764,15
18,0.730509,15
2,0.693573,15
5,0.7151703,15
18,0.66334945,15
18,0.4105961,15
1,0.59438765,15
4,0.9558177,15
5,0.7036861,15
15,0.90274113,15
1,0.46251482,15
5,0.5879245,15
4,0.79530895,15
4,0.71486986,15
18,0.4617048,16
8,0.51900935,16
18,0.39579466,16
1,0.62991065,16
4,0.80419016,16
16,0.67403555,16
16,0.5949576,16
16,0.4898491,16
18,0.42043525,16
1,0.785989,16
1,0.4075827,16
16,0.84466636,16
1,0.6850603,16
16,0.9586851,16
1,0.6963368,16
18,0.44026572,16
21,0.96818864,16
1,0.464635,16
1,0.54209715,16
1,0.44961813,16
3,0.5191196,16
16,0.780992,16
3,0.67925835,16
1,0.82803386,16
1,0.66721034,16
1,0.40110642,16
4,0.44681466,16
11,1.0,16
16,0.9921495,16
1,0.6838194,16
17,0.3254867,16
7,0.91767514,16
16,0.9885455,16
8,0.5986914,16
7,0.89946747,16
16,0.9220886,16
5,0.4015832,16
14,0.56293064,16
16,0.84955996,16
1,0.5637174,16
16,0.84670067,16
18,0.39727893,16
14,0.41521114,16
11,1.0,16
20,0.6225372,16
16,0.99428093,16
16,0.98325735,16
16,0.97729445,16
16,0.99050397,16
18,0.44880658,16
22,0.30093718,16
6,0.7530227,16
1,0.77989626,16
16,0.52831215,16
16,0.978574,16
16,0.983949,16
16,0.92087436,16
14,0.7016726,16
11,1.0,16
16,0.9138535,16
18,0.62138957,16
16,0.47556385,16
13,0.7549535,16
1,0.48880282,16
17,0.9082806,16
16,0.99431336,16
14,0.7828312,16
0,0.5867788,17
17,0.5044425,17
18,0.545542,17
6,0.51070243,17
1,0.24997973,17
17,0.9672638,17
1,0.6751435,17
2,0.4798585,17
18,0.32828146,17
3,0.5439593,17
18,0.38790354,17
17,0.57754916,17
3,0.30708477,17
14,0.70192456,17
18,0.71448743,17
17,0.9511711,17
1,0.6014145,17
1,0.2874193,17
17,0.8053843,17
14,0.5026087,17
17,0.9023274,17
18,0.28540748,17
20,0.89987355,17
5,0.45252421,17
17,0.94825584,17
16,0.98808074,17
14,0.45338887,17
18,0.26336175,17
17,0.7367912,17
1,0.803945,17
18,0.85242337,18
7,0.8371398,18
18,0.6101969,18
18,0.30790308,18
17,0.4950197,18
18,0.82708687,18
9,0.7018391,18
5,0.40499207,18
18,0.5670614,18
1,0.5991287,18
3,0.71618795,18
18,0.75784993,18
1,0.3587076,18
18,0.8082274,18
18,0.7276231,18
14,0.63058656,18
18,0.8083853,18
18,0.8180445,18
18,0.5574494,18
18,0.33469483,18
