y_predict,y_score,y_true
0,0.9999982,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.99306196,0
0,1.0,0
0,1.0,0
0,0.9998073,0
0,1.0,0
0,0.9999994,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.99999905,0
0,0.9999975,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.999962,0
0,1.0,0
0,1.0,0
0,0.9999999,0
0,0.953422,0
0,1.0,0
0,0.99102926,0
0,1.0,0
0,1.0,0
2,0.8790776,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.999961,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
1,1.0,0
0,0.98652864,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.9969572,0
0,1.0,0
0,0.9647598,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.98209023,0
1,0.6243667,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
1,0.41983852,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.9985429,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.9996246,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
1,0.99965274,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.99999857,0
0,1.0,0
0,1.0,0
0,0.9999957,0
0,1.0,0
0,0.9798322,0
0,0.7228749,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.9999999,0
0,1.0,0
2,0.9999951,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.63580644,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.9999999,0
0,0.9999769,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
1,0.38815877,0
0,1.0,0
0,1.0,0
0,1.0,0
2,0.9451349,0
0,1.0,0
0,0.99999976,0
0,0.9999851,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
1,0.9999485,0
0,1.0,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.99999917,0
0,0.99782014,0
0,0.3972036,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.99999046,0
0,1.0,0
0,1.0,0
0,1.0,0
2,0.52905154,0
0,1.0,0
1,0.8717192,1
3,0.9503194,1
1,0.96882296,1
1,0.9999987,1
2,0.99933773,1
1,0.5434518,1
1,0.9999989,1
2,0.8392517,1
1,0.9999875,1
1,0.98151773,1
1,0.9992601,1
1,0.9982023,1
1,0.813184,1
1,0.998111,1
2,0.5436894,1
0,1.0,1
2,0.76169837,1
1,0.99998987,1
2,0.99940145,1
1,1.0,1
2,0.6520222,1
2,0.99998474,1
1,0.998212,1
4,0.51467305,1
2,0.9987204,1
1,0.99982846,1
0,1.0,1
2,0.975737,1
1,1.0,1
0,1.0,1
1,0.99993074,1
1,0.5258084,1
1,0.9999999,1
2,0.9999354,1
2,0.99996686,1
0,1.0,1
1,0.958885,1
1,1.0,1
2,0.9999229,2
4,0.79698634,2
4,0.604932,2
2,0.9758952,2
2,0.9998754,2
2,0.97976595,2
2,0.9832076,2
2,0.9994031,2
2,0.8392517,2
2,0.9999958,2
2,0.8530751,2
2,0.9982493,2
4,0.5762351,2
2,0.547899,2
2,0.94810325,2
2,0.9998093,2
2,0.9743747,2
1,0.9526645,2
1,0.6616482,2
4,0.660597,2
2,0.99522924,2
2,0.9334774,2
2,0.9997284,2
2,0.99933237,2
4,0.9217442,2
2,0.9990921,2
2,0.9996886,2
1,0.9999999,2
2,0.9994611,2
0,0.9725919,2
2,0.96875304,2
2,0.80141735,2
2,0.98550373,2
2,0.939465,2
2,0.9999987,2
2,0.6075996,2
2,0.9197477,2
1,0.9230565,2
2,0.46166265,2
2,1.0,2
4,0.92194235,2
1,0.8011967,2
1,0.51417345,2
2,0.99052703,2
1,0.7109265,2
2,0.9963916,2
2,0.9987968,2
2,0.9993837,2
4,0.98277444,2
2,0.9987042,2
2,0.98826885,2
1,0.86976963,2
2,0.9396791,2
2,0.99999976,2
1,0.9999372,2
2,0.90901524,2
2,0.99979585,2
2,0.8461583,2
0,0.7319705,2
2,0.9832076,2
2,0.9995579,2
4,0.98937994,2
2,0.99136084,2
2,0.9999558,2
2,0.9992792,2
4,0.97981024,2
2,0.9071626,2
2,0.99996436,2
1,0.8660371,2
2,0.98050904,2
1,0.7159611,2
2,0.9999523,2
3,0.6436762,2
1,0.6365261,2
2,0.99328554,2
2,0.48560107,2
2,0.9999584,2
2,0.9951727,2
2,1.0,2
2,0.5440301,2
2,0.9968629,2
1,0.8985552,2
2,0.84374195,2
2,0.53464574,2
3,0.7235984,2
2,0.99999285,2
2,0.9997725,2
2,0.9689417,2
2,0.7759944,2
2,0.98390055,2
2,0.94550776,2
1,0.5896451,2
1,0.99957484,2
2,0.9999987,2
4,0.7585204,2
2,0.9999989,2
2,0.67752767,2
2,0.9999912,2
2,0.9999982,2
1,0.9271561,2
2,0.9999523,2
2,0.99999416,2
2,0.7082353,2
2,0.99775594,3
3,0.8299341,3
4,0.980452,3
3,0.9466802,3
1,0.99997914,3
2,0.99999905,3
3,0.9735779,3
4,0.9032449,3
3,0.7956463,3
3,0.7708887,3
2,0.99947435,3
4,0.98316836,3
2,0.9998253,3
3,0.8239505,3
4,0.57790637,3
2,0.9996234,3
4,0.9830473,4
2,0.9999982,4
2,0.85412157,4
3,0.60707766,4
1,0.9993549,4
4,0.98627126,4
1,0.9890298,4
3,0.9605984,4
4,0.9844521,4
4,0.97515327,4
3,0.9407414,4
3,0.9416649,4
4,0.5759009,4
2,0.6440613,4
3,0.8993927,4
2,0.7318047,4
2,0.9996704,4
3,0.8993927,4
