Image,Mask
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/000db696-cf54-4385-b10b-6b16fbb3f985.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/000db696-cf54-4385-b10b-6b16fbb3f985.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/000fe35a-2649-43d4-b027-e67796d412e0.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/000fe35a-2649-43d4-b027-e67796d412e0.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/001031d9-f904-4a23-b3e5-2c088acd19c6.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/001031d9-f904-4a23-b3e5-2c088acd19c6.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/001916b8-3d30-4935-a5d1-8eaddb1646cd.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/001916b8-3d30-4935-a5d1-8eaddb1646cd.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/0022073f-cec8-42ec-ab5f-bc2314649235.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/0022073f-cec8-42ec-ab5f-bc2314649235.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/002cb550-2e31-42f1-a29d-fbc279977e71.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/002cb550-2e31-42f1-a29d-fbc279977e71.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/00436515-870c-4b36-a041-de91049b9ab4.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/00436515-870c-4b36-a041-de91049b9ab4.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/00704310-78a8-4b38-8475-49f4573b2dbb.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/00704310-78a8-4b38-8475-49f4573b2dbb.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/0087bd3a-55a7-4045-b111-b018fa52d361.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/0087bd3a-55a7-4045-b111-b018fa52d361.jpg
E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Image/00a05408-8291-4231-886e-13763e103161.jpg,E:\MedicalData\kagglechallenge\pneumonia_detection_2018\segmentation/Mask/00a05408-8291-4231-886e-13763e103161.jpg
